DateTime,AddedIPs,RemovedIPs
1612265763,331,331
1612269602,96,96
1612273446,96,96
1612277282,96,96
1612281122,182,182
1612288813,138,138
1612300323,116,116
1612312083,103,103
1612323843,984,984
1612335362,679,679
1612347122,379,379
1612350962,379,379
1612354802,552,552
1612366322,199,199
1612377842,143,143
1612385522,109,109
1612397043,105,105
1612404722,998,998
1612420323,836,836
1612431843,466,466
1612443362,440,440
1612454882,220,220
1612458722,70,70
1612470242,165,165
1612481763,97,97
1612493282,996,996
1612504813,822,822
1612516323,498,498
1612527842,342,342
1612539362,266,266
1612550882,170,170
1612562413,120,120
1612573923,113,113
1612585443,997,997
1612596962,627,627
1612608722,429,429
1612616413,287,287
1612620242,51,51
1612624083,51,51
1612627922,51,51
1612632003,195,195
1612635842,67,67
1612639682,67,67
1612643524,167,167
1612655043,129,129
1612666877,300,998
1612678321,942,244
1612689842,572,572
1612701362,358,358
1612709042,231,231
1612716722,71,71
1612724412,188,188
1612736162,161,161
1612743842,116,116
1612751522,994,994
1612763042,811,811
1612774564,504,504
1612789923,311,311
1612797602,282,282
1612801445,1,1
1612805523,1,1
1612809363,164,164
1612820883,94,94
1612832882,114,114
1612840563,987,987
1612852084,672,672
1612863603,454,454
1612875123,297,297
1612878962,297,297
1612882813,297,297
1612886643,215,215
1612898163,174,174
1612909923,150,150
1612921442,137,1000
1612925282,938,75
1612936812,813,813
1612948323,512,512
1612952162,155,155
1612956002,155,155
1612959843,397,397
1612971362,187,187
1612982882,136,136
1612994474,114,114
1613002083,119,119
1613009762,997,997
1613021283,814,814
1613032803,558,558
1613044322,315,315
1613048165,94,94
1613052012,94,94
1613055842,264,264
1613067602,182,182
1613079362,129,129
1613090883,93,93
1613098563,999,999
1613110082,744,744
1613118002,583,583
1613133362,424,424
1613141043,187,187
1613152875,171,171
1613164562,138,138
1613176083,101,101
1613187602,1000,1000
1613202962,649,649
1613210475,506,506
1613221922,163,163
1613229602,62,62
1613233443,193,193
1613244962,150,150
1613256482,138,138
1613264163,121,1000
1613283362,988,109
1613291043,640,640
1613298722,279,279
1613310242,219,219
1613314082,226,226
1613325613,184,184
1613340962,193,193
1613344802,77,77
1613348643,77,77
1613352723,64,1000
1613356562,963,27
1613368082,812,812
1613379612,583,583
1613391371,407,407
1613402882,200,200
1613414403,143,143
1613425922,131,131
