DateTime,AddedIPs,RemovedIPs
1610967629,1,1
1610985629,0,1
1610992827,0,1
1611010828,0,3
1611021629,1,0
1611050428,0,1
1611057628,1,0
1611061227,0,3
1611072028,0,1
1611082829,0,1
1611090028,1,0
1611093627,1,0
1611097227,1,0
1611108028,2,0
1611111628,0,1
1611115229,1,0
1611118828,0,1
1611129628,0,1
1611147627,0,1
1611158428,1,0
1611169228,0,3
1611190825,0,1
1611194429,0,1
1611201629,1,0
1611216028,0,1
1611226828,0,1
1611244828,1,0
1611259228,0,1
1611273629,0,1
1611277227,0,1
1611284429,0,1
1611288029,0,1
1611302429,1,0
1611313229,0,1
1611316828,0,1
1611324026,0,1
1611338429,1,1
1611352829,0,1
1611370825,1,0
1611392427,1,0
1611396027,0,1
1611403220,0,1
1611417629,0,1
1611439227,0,1
1611442827,0,1
1611496827,1,0
1611507629,1,0
1611522029,1,0
1611525629,1,0
1611532828,1,0
1611543629,2,0
1611547226,1,0
1611550828,1,0
1611554428,1,0
1611568829,2,0
1611572429,1,1
1611586825,1,0
1611597628,1,0
1611601227,1,0
1611604827,1,0
1611608429,1,0
1611612030,1,1
1611615628,2,0
1611619229,1,0
1611622829,3,0
1611630029,1,1
1611637230,1,0
1611648030,1,1
1611651628,1,0
1611658830,1,1
1611666030,1,0
1611694828,1,1
1611698429,0,1
1611702030,3,1
1611712830,0,1
1611748829,1,1
1611759630,2,0
1611781230,1,0
1611784828,1,1
1611792029,1,0
1611795630,1,0
1611820828,1,0
1611824430,0,1
1611828028,0,1
1611835231,1,0
1611846029,2,0
1611849629,0,1
1611853229,0,2
1611864028,1,0
1611867628,1,0
1611878430,2,0
1611900030,1,0
1611914429,3,1
1611918029,1,0
1611925230,1,0
1611932429,0,1
1611936031,2,0
1611943229,1,0
1611946828,2,0
1611950428,1,0
1611954030,1,0
1611975629,1,0
1611982829,2,0
1611990027,1,0
1611997230,1,0
1612000828,2,0
1612015228,1,0
1612033228,0,1
1612051230,1,0
1612054829,1,0
1612065630,1,0
1612080030,1,0
1612101629,0,1
1612112430,1,0
1612116028,1,1
1612126830,1,1
1612130430,1,0
1612134030,1,0
1612155628,0,1
1612166428,1,0
1612170037,0,2
1612177228,1,0
1612180828,0,2
1612191638,0,1
1612206040,0,1
1612209608,0,2
1612224005,1,0
1612227620,0,1
1612242005,0,2
1612245604,0,1
1612249226,0,5
1612252807,0,1
1612256406,0,1
1612270805,0,2
1612278004,0,1
1612299629,0,3
1612303231,1,0
1612314020,0,1
1612317614,2,1
1612328414,0,1
1612339229,1,0
1612360806,1,0
1612371607,1,0
1612375212,1,1
1612396826,0,1
1612414806,1,0
1612432805,1,1
1612440006,0,1
1612454406,0,2
1612490431,1,0
1612501206,0,1
1612504829,0,1
1612512030,1,0
1612519210,0,3
1612526405,0,1
1612530008,0,1
1612540807,0,1
1612558805,0,2
1612569624,1,0
1612580406,0,1
1612587629,1,2
1612591205,1,0
1612594805,0,1
1612598423,2,1
1612620006,1,1
1612623605,0,1
1612648808,2,1
1612656010,1,0
1612659606,0,1
1612663209,0,1
1612674008,0,1
1612684831,0,2
1612692031,1,0
1612720808,0,2
1612738805,0,1
1612746033,2,0
1612753207,1,0
1612764005,1,0
1612771206,0,1
1612782031,0,1
1612800033,0,1
1612818006,1,0
1612821607,0,1
1612828830,1,0
1612843227,1,0
1612846809,1,0
1612850406,0,1
1612864833,0,1
1612882829,1,0
1612904438,1,0
1612908005,1,0
1612915214,1,1
1612922407,1,1
1612936805,1,0
1612944036,1,1
1612969233,0,1
1612972813,1,0
1612983631,0,1
1613008830,0,1
1613034009,0,1
1613044830,1,0
1613048434,0,1
1613052012,0,1
1613059210,1,0
1613070005,1,0
1613073610,1,0
1613080807,3,0
1613084406,1,1
1613088007,3,1
1613091607,4,0
1613095209,2,1
1613098830,1,0
1613106006,1,1
1613109611,1,0
1613145607,1,0
1613149215,1,1
1613152830,0,1
1613156408,0,1
1613181605,1,0
1613188830,0,1
1613192413,0,1
1613203214,0,1
1613206819,0,2
1613217608,0,2
1613224814,0,1
1613242820,0,1
1613250008,0,1
1613253605,1,2
1613264406,3,0
1613268030,2,0
1613282421,0,1
1613289630,0,1
1613296807,0,1
1613307637,0,1
1613318406,1,0
1613325606,1,2
1613336406,0,1
1613340011,2,0
1613350832,0,1
1613365206,1,0
1613372434,0,1
1613401206,1,0
1613404836,0,1
1613419226,0,1
1613422814,0,1
1613433631,0,1
1613462425,1,1
1613466026,1,0
1613484037,1,1
1613498419,0,3
1613505605,0,1
1613509209,0,1
1613520006,0,1
1613527207,0,1
1613541617,0,2
1613545229,1,0
1613552432,3,0
1613574008,0,1
1613577605,0,1
1613581207,1,0
1613584832,0,1
1613592006,1,1
1613606411,1,0
1613649607,0,2
1613664010,2,0
1613671212,1,0
1613674831,0,1
1613678413,0,1
1613696410,0,1
1613710831,0,2
1613718021,0,2
1613721614,0,1
1613725208,0,1
1613728806,0,4
1613732434,0,2
1613736012,0,3
1613739612,0,1
1613750410,1,1
1613754006,0,1
1613822411,1,0
1613826007,1,0
1613836832,1,0
1613840409,1,0
1613862033,1,0
1613865612,0,3
1613872821,1,2
1613883622,1,0
1613901619,1,0
1613923220,0,1
1613955641,0,1
1613970018,0,2
1614016834,0,1
1614024031,0,1
1614031211,0,1
1614034808,1,0
1614038415,3,0
1614049228,1,0
1614056412,1,0
1614070806,1,0
1614088832,1,1
1614110415,1,1
1614128429,1,0
1614135606,5,0
1614139218,3,0
1614142809,2,0
1614146435,5,0
1614150029,1,1
1614153633,2,0
1614157209,6,1
1614160828,2,2
1614164408,3,0
1614171613,3,1
1614175210,1,0
1614178833,2,0
1614182409,1,0
1614186035,1,1
1614200421,1,0
1614204008,1,0
1614211228,0,1
1614218434,1,0
1614229235,2,0
1614240015,1,0
1614243638,1,0
1614265216,1,0
1614268826,0,4
1614276016,0,1
1614279610,1,0
1614290421,1,0
1614301207,1,0
1614315615,0,1
1614319213,0,1
1614322810,1,0
1614340807,1,0
1614369612,1,0
1614384025,1,0
1614420008,1,1
1614441606,2,0
1614445235,2,1
1614448816,1,0
1614456011,0,1
1614470413,1,0
1614481207,1,0
1614506412,0,2
1614520816,1,0
1614528010,0,1
1614538832,0,1
1614556815,0,1
1614600035,1,0
1614643226,0,1
1614646808,3,1
1614650409,1,0
1614657608,0,1
1614661235,1,1
1614672035,0,1
1614675624,0,1
1614690006,1,0
1614715210,0,1
1614733209,1,0
1614736806,6,2
1614740418,6,4
1614744006,1,0
1614747611,1,1
1614751211,2,5
1614754832,5,1
1614758432,2,1
1614762032,0,3
1614765607,0,2
1614769234,0,3
1614772833,0,3
1614776414,0,2
1614780015,0,1
1614783639,1,1
1614787235,0,1
1614790805,1,0
1614798032,1,0
1614801629,1,1
1614805208,0,1
1614808833,3,1
1614812407,1,0
